¹;collocation;frequency;metaphoric use
1;mesa;3801;TRUE
2;mesas;1903;TRUE
3;negocio;942;TRUE
4;forma;833;FALSE
5;n?meros;274;TRUE
6;formas;270;FALSE
7;bordes;264;FALSE
8;punta;219;TRUE
9;esquinas;212;FALSE
10;ojos;177;FALSE
11;cuello;148;FALSE
12;molde;139;FALSE
13;rostro;135;FALSE
14;n?mero;129;TRUE
15;cabeza;115;FALSE
16;viaje;114;TRUE
17;puntas;95;TRUE
18;cara;90;FALSE
19;cifras;77;TRUE
20;piedras;74;FALSE
21;cifra;70;TRUE
22;cuerpo;68;FALSE
23;gafas;68;FALSE
24;cepillo;65;FALSE
25;casa;63;FALSE
26;piedra;60;FALSE
27;tierra;60;FALSE
28;objeto;58;FALSE
29;bulto;57;FALSE
30;d?a;55;TRUE
31;bato;53;FALSE
32;partido;53;TRUE
33;pel?cula;49;TRUE
34;rey;49;FALSE
35;lentes;47;FALSE
36;luna;47;FALSE
37;semillas;47;FALSE
38;cosa;46;FALSE
39;letra;46;TRUE
40;a?o;44;TRUE
41;disco;44;FALSE
42;copa;43;FALSE
43;novela;43;TRUE
44;obra;43;TRUE
45;objetos;41;FALSE
46;rocas;41;FALSE
47;hojas;40;FALSE
48;manchas;40;FALSE
49;pedro;40;FALSE
50;ventana;39;FALSE
51;grados;38;FALSE
52;carita;36;FALSE
53;naglas;36;FALSE
54;recipiente;36;FALSE
55;moldes;35;FALSE
56;producto;35;TRUE
57;?ngulos;34;FALSE
58;historia;34;TRUE
59;l?neas;34;FALSE
60;pero;34;FALSE
61;gusano;33;FALSE
62;noche;33;TRUE
63;personajes;33;TRUE
64;espejo;32;FALSE
65;final;32;TRUE
66;gusanos;32;FALSE
67;mundo;32;TRUE
68;rostros;32;FALSE
69;tabla;32;FALSE
70;agujero;31;FALSE
71;superficie;31;FALSE
72;base;30;FALSE
73;cama;30;FALSE
74;pan;30;FALSE
75;templo;30;FALSE
76;fajardo;29;FALSE
77;bordes;27;FALSE
78;cantos;27;TRUE
79;capit?n;27;FALSE
80;escote;27;FALSE
81;figuras;27;FALSE
82;grano;27;FALSE
83;figura;27;FALSE
84;grano;27;FALSE
85;parte;27;FALSE
86;dise?o;27;FALSE
87;libro;27;TRUE
88;ligamento;27;FALSE
89;escudo;26;FALSE
90;orejas;26;FALSE
91;punto;26;TRUE
92;pies;25;FALSE
93;sombrero;25;FALSE
94;aspecto;24;TRUE
95;c?lulas;24;FALSE
96;dolores;24;FALSE
97;garc?a;24;FALSE
98;personajes;24;TRUE
99;canci?nes;23;TRUE
100;nariz;23;FALSE
